City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,arnedo,42.2167,-2.1,-0.28,90,93,5.31,ES,1674541576
1,ushuaia,-54.8,-68.3,7.81,93,0,4.63,AR,1674541591
2,albany,42.6001,-73.9662,-0.74,85,77,4.03,US,1674541592
3,barrow,71.2906,-156.7887,-20.99,77,100,7.2,US,1674541593
4,hermanus,-34.4187,19.2345,21.0,75,8,10.41,ZA,1674541593
5,lorengau,-2.0226,147.2712,27.3,79,100,1.07,PG,1674541594
6,rikitea,-23.1203,-134.9692,26.18,74,0,6.92,PF,1674541594
7,arraial do cabo,-22.9661,-42.0278,23.28,94,100,3.27,BR,1674541594
8,port alfred,-33.5906,26.891,25.66,70,60,3.13,ZA,1674541595
9,kapaa,22.0752,-159.319,23.18,86,0,2.06,US,1674541595
10,bethel,41.3712,-73.414,1.53,74,100,3.09,US,1674541595
11,puerto ayora,-0.7393,-90.3518,23.08,95,64,0.91,EC,1674541596
12,iqaluit,63.7506,-68.5145,-25.15,75,100,3.09,CA,1674541598
13,klaksvik,62.2266,-6.589,8.51,97,100,9.78,FO,1674541599
14,lipetsk,52.6031,39.5708,-9.76,93,10,1.58,RU,1674541599
15,chachapoyas,-6.2317,-77.869,11.9,95,93,0.42,PE,1674541600
16,grand gaube,-20.0064,57.6608,25.22,82,100,1.61,MU,1674541602
17,bluff,-46.6,168.3333,13.66,62,8,6.42,NZ,1674541603
18,buala,-8.145,159.5921,24.54,94,100,0.15,SB,1674541603
19,poum,-20.2333,164.0167,26.8,76,100,1.95,NC,1674541604
20,qaanaaq,77.484,-69.3632,-23.36,67,92,3.07,GL,1674541605
21,narsaq,60.9167,-46.05,-7.88,96,100,3.76,GL,1674541605
22,yanam,16.7333,82.2167,28.66,43,26,3.12,IN,1674541610
23,farim,12.4839,-15.2217,17.59,74,23,1.57,GW,1674541612
24,provideniya,64.3833,-173.3,-20.2,85,0,5.79,RU,1674541613
25,nacala,-14.5428,40.6728,25.16,81,96,6.14,MZ,1674541613
26,burnie,-41.0667,145.9167,23.3,49,9,3.83,AU,1674541613
27,punta arenas,-53.15,-70.9167,7.06,70,0,7.72,CL,1674541614
28,byron bay,-28.65,153.6167,25.39,74,9,6.26,AU,1674541560
29,thompson,55.7435,-97.8558,-32.91,75,0,0.0,CA,1674541630
30,esperance,-33.8667,121.9,27.26,50,0,7.24,AU,1674541631
31,bengkulu,-3.8004,102.2655,24.92,88,100,4.35,ID,1674541273
32,kokstad,-30.5472,29.4241,22.76,56,5,1.74,ZA,1674541633
33,carnarvon,-24.8667,113.6333,29.1,59,46,5.82,AU,1674541634
34,chuncheng,22.1731,111.7886,15.76,49,62,7.41,CN,1674541635
35,bambous virieux,-20.3428,57.7575,25.14,88,75,3.09,MU,1674541636
36,ilulissat,69.2167,-51.1,-4.99,58,100,10.29,GL,1674541638
37,quatre cocos,-20.2078,57.7625,25.06,78,100,1.6,MU,1674541639
38,tilichiki,60.4667,166.1,-16.92,87,100,6.01,RU,1674541643
39,saskylakh,71.9167,114.0833,-22.58,88,100,1.35,RU,1674541643
40,hede,33.7681,120.2517,-4.42,18,19,8.72,CN,1674541644
41,oyama,36.3,139.8,9.45,41,85,3.82,JP,1674541511
42,mount gambier,-37.8333,140.7667,22.69,46,34,4.42,AU,1674541645
43,hithadhoo,-0.6,73.0833,27.05,76,62,5.81,MV,1674541645
44,hasaki,35.7333,140.8333,12.94,54,99,7.23,JP,1674541645
45,puerto maldonado,-12.6,-69.1833,23.02,93,99,1.3,PE,1674541647
46,hobart,-42.8794,147.3294,23.92,59,40,5.66,AU,1674541407
47,vila franca do campo,37.7167,-25.4333,15.23,79,73,6.03,PT,1674541648
48,goroka,-6.0834,145.3873,20.79,84,100,1.26,PG,1674541650
49,khatanga,71.9667,102.5,-40.57,95,34,3.0,RU,1674541650
50,kodiak,57.79,-152.4072,3.73,81,40,2.57,US,1674541651
51,tashtagol,52.7657,87.8894,-10.62,92,100,3.95,RU,1674541651
52,kyenjojo,0.6328,30.6214,22.39,50,100,0.55,UG,1674541663
53,cocorit,27.5833,-109.9667,9.94,34,42,3.71,MX,1674541663
54,sibolga,1.7427,98.7792,26.78,76,100,1.2,ID,1674541664
55,new norfolk,-42.7826,147.0587,23.72,53,36,1.79,AU,1674541664
56,mar del plata,-38.0023,-57.5575,18.26,80,0,4.92,AR,1674541665
57,saint-philippe,-21.3585,55.7679,25.77,83,100,3.99,RE,1674541668
58,panjab,34.388,67.0233,-14.63,82,26,1.57,AF,1674541669
59,bredasdorp,-34.5322,20.0403,21.05,56,0,7.93,ZA,1674541550
60,muzhi,65.3667,64.6667,-5.76,91,100,2.53,RU,1674541671
61,derzhavinsk,51.1,66.3167,-16.94,100,99,1.48,KZ,1674541672
62,yellowknife,62.456,-114.3525,-14.69,85,100,4.63,CA,1674541675
63,atikokan,48.7555,-91.6216,-16.19,99,95,1.5,CA,1674541676
64,poso,-1.3959,120.7524,29.73,66,100,1.94,ID,1674541676
65,salalah,17.0151,54.0924,25.05,57,40,2.57,OM,1674541678
66,busselton,-33.65,115.3333,28.67,42,11,9.56,AU,1674541678
67,petrokamenskoye,57.716,60.6484,-9.12,89,16,4.15,RU,1674541679
68,rio gallegos,-51.6226,-69.2181,7.03,65,0,2.06,AR,1674541679
69,mataura,-46.1927,168.8643,17.75,48,10,2.76,NZ,1674541681
70,nikolskoye,59.7035,30.7861,-3.06,89,100,4.55,RU,1674541682
71,ribeira grande,38.5167,-28.7,15.99,83,34,10.28,PT,1674541684
72,chokurdakh,70.6333,147.9167,-35.08,99,97,1.55,RU,1674541685
73,sao joao da barra,-21.6403,-41.0511,23.69,93,100,2.37,BR,1674541686
74,muli,2.9167,73.5667,27.04,73,100,4.83,MV,1674541687
75,manakara,-22.1333,48.0167,22.83,97,100,1.98,MG,1674541687
76,kaitong,44.8135,123.15,-16.71,29,1,5.19,CN,1674541689
77,lazaro cardenas,17.9583,-102.2,21.39,79,3,2.33,MX,1674541689
78,wattegama,6.7989,81.4808,27.02,75,99,3.79,LK,1674541690
79,kavieng,-2.5744,150.7967,29.21,70,85,4.15,PG,1674541691
